Date,Open,High,Low,Close,Adj Close,Volume
2023-09-11,83.699997,83.699997,83.050003,83.300003,80.996040,55177
2023-09-12,83.400002,83.400002,82.489998,83.000000,80.704330,58307
2023-09-13,81.500000,81.750000,80.050003,80.120003,78.604568,106954
2023-09-14,80.120003,80.389999,79.000000,79.300003,77.800079,93347
2023-09-15,79.150002,79.300003,77.800003,77.800003,76.328453,144789
2023-09-18,78.500000,79.900002,78.400002,79.029999,77.535187,95798
2023-09-19,79.300003,79.970001,78.800003,79.930000,78.418159,74092
2023-09-20,79.900002,80.949997,79.650002,80.870003,79.340385,68047
2023-09-21,81.000000,81.699997,80.870003,80.980003,79.448303,59382
2023-09-22,80.879997,80.900002,80.099998,80.610001,79.085297,42804
2023-09-25,80.599998,80.650002,79.370003,79.699997,78.192505,80352
2023-09-26,79.720001,80.000000,79.000000,79.849998,78.339668,67398
2023-09-27,79.849998,80.099998,78.449997,78.709999,77.221237,58321
2023-09-28,78.709999,79.470001,78.230003,78.699997,77.211426,54553
2023-09-29,79.000000,79.860001,78.599998,78.949997,77.456696,69922
2023-10-02,79.160004,79.940002,78.300003,79.230003,77.731400,87108
2023-10-03,79.279999,80.419998,79.220001,79.730003,78.221947,68988
2023-10-04,79.550003,80.150002,79.239998,79.339996,77.839310,56140
2023-10-05,79.400002,79.790001,78.650002,79.279999,77.780449,51310
2023-10-06,79.279999,79.800003,78.750000,79.430000,77.927612,53226
2023-10-09,79.430000,80.099998,79.410004,79.449997,77.947235,54048
2023-10-10,79.669998,79.989998,79.419998,79.989998,78.477020,55759
2023-10-11,79.309998,79.769997,79.180000,79.540001,78.824547,39711
2023-10-13,79.540001,79.989998,79.000000,79.580002,78.864182,51779
2023-10-16,79.570000,79.790001,79.300003,79.400002,78.685806,57417
2023-10-17,79.500000,79.599998,78.040001,78.360001,77.655159,91810
2023-10-18,78.430000,79.330002,78.430000,78.620003,77.912819,55582
2023-10-19,78.779999,79.230003,78.000000,78.440002,77.734436,59866
2023-10-20,78.400002,78.650002,78.059998,78.300003,77.595703,50710
2023-10-23,78.300003,78.930000,78.290001,78.620003,77.912819,46629
2023-10-24,78.750000,78.970001,78.070000,78.250000,77.546143,58615
2023-10-25,78.400002,78.779999,78.120003,78.120003,77.417320,39701
2023-10-26,78.260002,78.550003,77.620003,77.620003,76.921814,64704
2023-10-27,77.709999,78.250000,77.589996,77.949997,77.248840,48184
2023-10-30,78.010002,78.650002,77.599998,78.150002,77.447044,62614
2023-10-31,78.150002,78.839996,78.150002,78.769997,78.061462,51088
2023-11-01,78.629997,78.970001,78.110001,78.430000,77.724525,67305
2023-11-03,78.430000,78.800003,77.570000,78.400002,77.694801,80416
2023-11-06,78.470001,79.199997,78.150002,79.139999,78.428139,59821
2023-11-07,79.139999,79.790001,78.820000,79.790001,79.072296,50538
2023-11-08,79.790001,79.790001,79.250000,79.410004,78.695717,50444
2023-11-09,79.410004,79.830002,78.849998,79.779999,79.062386,56584
2023-11-10,79.639999,79.849998,79.000000,79.169998,78.457870,70519
2023-11-13,77.570000,78.000000,77.000000,78.000000,78.000000,86231
2023-11-14,78.010002,78.290001,77.279999,77.830002,77.830002,95576
